Site,Latitude,Longitude,nearest_buoy,nearest_buoy_nm,dist_to_buoy_km,mean_fetch_km,max_fetch_km,weighted_fetch_km,wave_energy_kW_m,exposure_index_scaled
SBI - Southeast Reef,33.46355,-119.02878,46025,Santa Monica Basin,32.36130758134865,186.73641613849634,500,121.55750971714903,0.5302399154393618,0.3148246980922884
SBI - Southeast Sealion,33.469,-119.0285,46025,Santa Monica Basin,31.75873966581939,183.4061589157225,500,117.22282512355163,0.5045495893532022,0.30359819491959245
SBI - Sutil,33.46542,-119.04859,46025,Santa Monica Basin,32.12059970705145,0,0,0,0,0
SCAI - Bird Rock,33.45315,-118.48748,46025,Santa Monica Basin,61.6305572493976,38.55446499117322,153.59109027329308,39.89894647096558,0.2880468340056166,0.10333523454166334
SCAI - Blue Cavern,33.44807,-118.47928,46025,Santa Monica Basin,62.57691143337392,0,0,0,0,0
SCAI - Cat Harbor,33.42583,-118.51139,46025,Santa Monica Basin,61.53412370400715,35.5368002443364,500,21.024252007722396,0.09109306991880146,0.054451212486575036
SCAI - China Point,33.32994,-118.4695,46025,Santa Monica Basin,71.27142992551921,0,0,0,0,0
SCAI - Hen Rock,33.39964,-118.3665,46025,Santa Monica Basin,74.30642162272147,33.19940872788729,173.91187783398897,20.559844267136302,0.23506585753963383,0.05324843178580265
SCAI - Indian Rock,33.46855,-118.52428,46025,Santa Monica Basin,57.83310644302127,37.8813701046154,149.68018432776046,38.64445803698769,0.2844462171909545,0.10008620498021256
SCAI - Iron Bound Cove,33.44765,-118.57549,46025,Santa Monica Basin,55.32693073721123,0,0,0,0,0
SCAI - Italian Gardens,33.41064,-118.3755,46025,Santa Monica Basin,72.95000536397596,29.989113806809584,160.94856337260498,34.3411690278201,0.22140794411780174,0.08894101398158584
SCAI - Ripper's Cove,33.42829,-118.43532,46025,Santa Monica Basin,67.20037095753806,0,0,0,0,0
SCAI - Salta Verde,33.31467,-118.422,46025,Santa Monica Basin,75.72205695318355,150.8181921269883,500,185.49512929973568,0.4037682774990261,0.4804182663437747
SCAI - Ship Rock,33.46354,-118.49187,46025,Santa Monica Basin,60.664458451693406,47.66949558295497,152.18251535203018,60.341609687126464,0.345500426394555,0.15628017632441052
SCI_CAVERN_POINT_E,34.05428,-119.56687,46053,East Santa Barbara,32.53991841781031,0,0,0,0,0
SCI_CAVERN_POINT_W,34.05275,-119.5713,46053,East Santa Barbara,32.33536925005666,0,0,0,0,0
SCI_COCHE_POINT_E,34.04493,-119.6014,46053,East Santa Barbara,30.8744901095682,0,0,0,0,0
